Information listing created by	ASUS
Date	07-Dec-2023 20:10:12
Current work part	C:\Users\ASUS\Documents\MCOMP\PROJETO\peça em metros_fem33.fem
Node name	LAPTOP-RQ9ND5TO


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector | Connected Nodes
  162                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 114 115 8 105
  163                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 133 114 105 106
  164                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 132 117 7 134
  165                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 125 122 132 134
  166                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 134 103 124 125
  167                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 7 6 103 134
  168                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 192 193 6 7
 
------------------------------------------------------------
 
